WKT,"name","abbrev","ne_id"
"POINT (75.9570722403652 30.8503598561702)","Sahnewal","LUH","1159113785"
"POINT (75.9330597710755 17.625415183635)","Solapur","SSE","1159113803"
"POINT (85.3235970368767 23.3177245989962)","Birsa Munda","IXR","1159113831"
"POINT (48.7471065435931 31.3431585560757)","Ahwaz","AWZ","1159113845"
"POINT (78.2172186546348 26.285487697937)","Gwalior","GWL","1159113863"
"POINT (42.97109630194 14.7552534413725)","Hodeidah Int'l","HOD","1159113883"
"POINT (75.8092915005895 22.727749187571)","Devi Ahilyabai Holkar Int'l","IDR","1159113903"
"POINT (73.8105674924689 19.9660205672806)","Gandhinagar","ISK","1159113917"
"POINT (76.8017261105242 30.6707248949667)","Chandigarh Int'l","IXC","1159113937"
"POINT (75.3958432922005 19.8672969621082)","Aurangabad","IXU","1159113953"
"POINT (72.9878190922305 31.3627435480862)","Faisalabad Int'l","LYP","1159113971"
"POINT (73.3163595376585 54.9576482934059)","Omsk Tsentralny","OMS","1159113991"
"POINT (82.6671524525865 55.0095847136264)","Novosibirsk Tolmachev","OVB","1159114013"
"POINT (35.3018728575279 47.8732635579023)","Zaporozhye Int'l","OZH","1159114037"
"POINT (101.446569298441 0.464600872998505)","Simpang Tiga","PKU","1159114047"
"POINT (145.243980298582 14.1717712971216)","Rota Int'l","ROP","1159114063"
"POINT (73.4084964764375 61.3401672194481)","Surgut","SGC","1159114081"
"POINT (78.7089578747476 10.7603571306554)","Tiruchirappalli","TRZ","1159114099"
"POINT (63.0279333519181 25.988794590011)","Turbat Int'l","TUK","1159114117"
"POINT (66.9487311480949 30.249043186181)","Quetta Int'l","UET","1159114135"
"POINT (60.900708564915 29.4752941956573)","Zahedan Int'l","ZAH","1159114153"
"POINT (112.711418617258 -7.92998002840567)","Abdul Rachman Saleh","MLG","1159114171"
"POINT (83.5504532124038 53.3633850813046)","Barnaul","BAX","1159114187"
"POINT (75.7584828456005 31.4329422397715)","Adampur","VIAX","1159114195"
"POINT (79.452002687657 28.4218087161144)","Bareilly","VIBY","1159114211"
"POINT (73.0320498392002 33.5614146278861)","Dhamial","OPQS","1159114231"
"POINT (127.495916124681 36.7220227766673)","Cheongju Int'l","CJJ","1159114253"
"POINT (126.810839481226 35.1400051390198)","Gwangju","KWJ","1159114271"
"POINT (128.637537699933 35.8999277969087)","Daegu Int'l","TAE","1159114289"
"POINT (129.355731047528 35.5928957527107)","Ulsan","USN","1159114319"
"POINT (105.176060419161 -5.242566777132)","Radin Inten II","WIIT","1159114325"
"POINT (81.7317271462187 25.443522027821)","Allahabad","IXD","1159114341"
"POINT (61.5122589740201 55.2977919496055)","Chelyabinsk","CEK","1159114359"
"POINT (120.209733318093 22.950667918347)","Tainan","TNN","1159114373"
"POINT (120.630703547584 24.2666555567115)","Taichung","RMQ","1159114393"
"POINT (4.43384434962876 51.9491301899382)","Rotterdam The Hague","RTM","1159114411"
"POINT (39.2254496447973 51.8126171268344)","Voronezh-Chertovitskoye","VOZ","1159114431"
"POINT (-2.85862065784938 53.3363751054422)","Liverpool John Lennon","LPL","1159114447"
"POINT (83.2235216387465 17.7279577384364)","Vishakapatnam","VTZ","1159114465"
"POINT (119.545691342151 -5.05893689455779)","Sultan Hasanuddin Int'l","UPG","1159114481"
"POINT (-173.968093944159 -18.5860058550654)","Vava'u Int'l","VAV","1159114497"
"POINT (-1.71034578407216 55.037084860802)","Newcastle Int'l","NCL","1159114519"
"POINT (-86.8514685020011 15.7451596659126)","Goloson Int'l","LCE","1159114531"
"POINT (39.6991359560417 24.5442339605661)","Madinah Int'l","MED","1159114549"
"POINT (-74.0287382984814 45.6832250979267)","Mirabel Int'l","YMX","1159114567"
"POINT (21.0974463986251 55.9713426235358)","Palanga Int'l","PLQ","1159114587"
"POINT (75.8010104192668 26.8211798100605)","Jaipur Int'l","JAI","1159114607"
"POINT (86.1724662363776 22.8154145110242)","Sonari","IXW","1159114623"
"POINT (29.54492 40.2555395007473)","Yenisehir","YEI","1159114643"
"POINT (35.2969614268338 36.9852090641795)","Şakirpaşa","ADA","1159114663"
"POINT (-152.485638515235 57.7485921070483)","Kodiak","ADQ","1159114685"
"POINT (-101.705352772697 35.2184031919398)","Amarillo Int'l","AMA","1159114695"
"POINT (133.902918 -23.801968)","Alice Springs","ASP","1159114713"
"POINT (74.8071559719824 31.7068220258888)","Raja Sansi Int'l","ATQ","1159114737"
"POINT (85.8168899544429 20.2526659754734)","Biju Patnaik","BBI","1159114753"
"POINT (-161.83898695944 60.7787379834088)","Bethel","BET","1159114773"
"POINT (-73.1809207725361 7.12770915402685)","Palonegro","BGA","1159114791"
"POINT (-86.7523773615462 33.5618672828058)","Birmingham Int'l","BHM","1159114807"
"POINT (141.470407303097 -31.998996737463)","Broken Hill","BHQ","1159114825"
"POINT (-108.536929388125 45.8036855715278)","Logan Int'l","BIL","1159114843"
"POINT (-100.757471303717 46.7751066661614)","Bismarck Muni.","BIS","1159114861"
"POINT (-101.478753382467 20.9858871211938)","Del Bajio Int'l","BJX","1159114875"
"POINT (5.603682560067 6.31716689207818)","Benin","BNI","1159114893"
"POINT (27.5164093662953 42.5670835487702)","Bourgas","BOJ","1159114899"
"POINT (8.7858617703132 53.052287104156)","Bremen","BRE","1159114933"
"POINT (-69.356102 10.0453)","Jacinto Lara Int'l","BRM","1159114957"
"POINT (-97.431765340232 25.9062743545347)","Brownsville-South Padre Island Int'l","BRO","1159114971"
"POINT (-2.71086469134308 51.3862934189148)","Bristol Int'l","BRS","1159114989"
"POINT (-91.1567544048105 30.5326138040586)","Baton Rouge Metro","BTR","1159115003"
"POINT (17.1999850022208 48.1698379062535)","Bratislava-M.R. Štefánik","BTS","1159115025"
"POINT (-73.1550787790668 44.4692066040732)","Burlington Int'l","BTV","1159115045"
"POINT (-81.1093352429377 33.9342054584275)","Columbia Metro","CAE","1159115063"
"POINT (75.950993063051 11.1395520526064)","Calicut Int'l","CCJ","1159115083"
"POINT (96.8287472144207 -12.1851585953293)","Cocos (Keeling) Islands","CCK","1159115105"
"POINT (19.9147561641662 39.6067554505259)","Corfu Int'l (Ioannis Kapodistrias)","CFU","1159115125"
"POINT (125.690456812998 43.993011479577)","Changchun Longjia Int'l","CGQ","1159115151"
"POINT (-80.0369337438262 32.8845301562965)","Charleston Int'l","CHS","1159115179"
"POINT (77.038893772262 11.0301415125983)","Coimbatore","CJB","1159115195"
"POINT (23.6869812680486 46.7826626340243)","Someseni","CLJ","1159115215"
"POINT (-77.8451039935167 21.4247037281961)","Ignacio Agramonte","CMW","1159115239"
"POINT (-106.464444809692 42.8971900483006)","Casper/Natrona County Int'l","CPR","1159115255"
"POINT (120.550770223914 15.1876422423888)","Clark Int'l","CRK","1159115281"
"POINT (-81.5964164667526 38.3705914372865)","Yeager","CRW","1159115293"
"POINT (15.0674605007053 37.470072800341)","Catania Fontanarossa","CTA","1159115313"
"POINT (-88.3242600415365 18.506434233376)","Chetumal Int'l","CTM","1159115333"
"POINT (-3.33956876429118 51.3986220911017)","Cardiff","CWL","1159115353"
"POINT (-79.879461638003 19.6898653962844)","Gerrard Smith","CYB","1159115383"
"POINT (-86.9304064070436 20.5115543771647)","Cozumel Int'l","CZM","1159115401"
"POINT (-84.2204594238102 39.8990402865362)","James M. Cox Dayton Int'l","DAY","1159115417"
"POINT (148.569717 -32.218681)","Dubbo","DBO","1159115439"
"POINT (-77.0433373925631 38.8537162012123)","Washington Nat'l","DCA","1159115459"
"POINT (-104.533846024964 24.1261948326182)","Durango Int'l","DGO","1159115479"
"POINT (35.0939060224975 48.3675718021117)","Voloskoye","DNK","1159115501"
"POINT (37.7448085572103 48.0691671285582)","Donetsk","DOK","1159115513"
"POINT (-56.4992636213744 -33.3591084475501)","Santa Bernardina Int'l","DZO","1159115539"
"POINT (-3.36428468513555 55.9485540113639)","Edinburgh Int'l","EDI","1159115559"
"POINT (-64.5371514365794 18.4443618557983)","Terrance B. Lettsome Int'l","EIS","1159115573"
"POINT (-115.786479232249 40.8276058815225)","Elko Reg.","EKO","1159115593"
"POINT (-116.595724400418 31.7977139760569)","Ensenada","ESE","1159115613"
"POINT (-7.2708 62.0625)","Vágar","FAE","1159115633"
"POINT (-96.8254561269675 46.9198178811323)","Hector Int'l","FAR","1159115653"
"POINT (-119.720001323576 36.7698128373959)","Fresno Yosemite Int'l","FAT","1159115671"
"POINT (-111.674656171675 35.1389116757976)","Flagstaff Pulliam","FLG","1159115693"
"POINT (-89.8778404226508 16.9149741642226)","Mundo Maya Int'l","FRS","1159115711"
"POINT (-96.7313831017541 43.5801934972763)","Sioux Falls Reg.","FSD","1159115731"
"POINT (-117.536836628585 47.6254781278368)","Spokane Int'l","GEG","1159115761"
"POINT (-75.872613085304 23.5638829069259)","Exuma Int'l","GGT","1159115775"
"POINT (-5.34677180033388 36.1512747504173)","Gibraltar","GIB","1159115799"
"POINT (-85.529573207274 42.8847776020908)","Gerald R. Ford Int'l","GRR","1159115827"
"POINT (-79.9364867577484 36.1053781998932)","Triad Int'l","GSO","1159115847"
"POINT (-111.35668472784 47.482270729263)","Great Falls Int'l","GTF","1159115875"
"POINT (37.47380325219 36.9453633446875)","Gaziantep Oğuzeli Int'l","GZT","1159115899"
"POINT (75.0863155680281 15.3591833386229)","Hubli","HBX","1159115911"
"POINT (100.393751274671 6.93634231940664)","Hat Yai Int'l","HDY","1159115937"
"POINT (117.304197015888 31.7798576795778)","Hefei-Luogang","HFE","1159115965"
"POINT (33.8071606414118 27.1804260918186)","Hurghada Int'l","HRG","1159115975"
"POINT (36.2822010773503 49.9215360631551)","Kharkov Int'l","HRK","1159115997"
"POINT (-86.7749430563373 34.6483344609319)","Huntsville Int'l","HSV","1159116015"
"POINT (3.9738133433229 7.36034397269393)","Ibadan","IBA","1159116035"
"POINT (-97.4287387683976 37.6529279603903)","Kansas City Int'l","ICT","1159116067"
"POINT (-77.9103756560469 34.2667840671996)","Wilmington Int'l","ILM","1159116087"
"POINT (4.49484038819934 8.43537651935241)","Ilorin Int'l","ILR","1159116105"
"POINT (-93.3980027552794 48.5659930848414)","Falls Int'l","INL","1159116121"
"POINT (-4.06359175587141 57.5395002923424)","Inverness","INV","1159116141"
"POINT (-115.57199556658 32.8339586685524)","Imperial Cty.","IPL","1159116157"
"POINT (74.8423077638915 32.6810428886225)","Jammu","IXJ","1159116179"
"POINT (78.0911394937194 9.83718627877566)","Madurai","IXM","1159116199"
"POINT (73.0505491895671 26.2637623458351)","Jodhpur","JDH","1159116221"
"POINT (80.0587438885277 23.1845328746465)","Jabalpur","JLR","1159116243"
"POINT (37.0651896067748 -3.42444495998178)","Kilimanjaro Int'l","JRO","1159116261"
"POINT (7.32525347407434 10.6946192862391)","Kaduna","KAD","1159116287"
"POINT (22.4783332482689 -5.90016656227041)","Kananga","KGA","1159116305"
"POINT (-1.59257526582361 6.71460638750365)","Kumasi","KMS","1159116323"
"POINT (-71.4806025354969 -32.948391765136)","Viña del Mar","KNA","1159116349"
"POINT (80.4144703692462 26.4041682440251)","Kanpur","KNU","1159116365"
"POINT (-156.040889471058 19.7370991399442)","Kona Int'l at Keahole","KOA","1159116385"
"POINT (-2.90137849524508 58.9544288788303)","Kirkwall","KOI","1159116405"
"POINT (75.8504977944552 25.1634187166743)","Kota","KTU","1159116425"
"POINT (32.5756732669687 37.9839945531695)","Konya","KYA","1159116445"
"POINT (-84.5982681918786 38.0374273181372)","Blue Grass","LEX","1159116465"
"POINT (-159.349084290522 21.9781243162088)","Lihue","LIH","1159116477"
"POINT (-92.2205881319289 34.7284300415179)","Clinton National","LIT","1159116503"
"POINT (-109.082694645261 25.688508826099)","Los Mochis","LMM","1159116513"
"POINT (-101.464960031751 26.9553927160699)","Venustiano Carranza Int'l","LOV","1159116531"
"POINT (-99.4556603976513 27.5436657175825)","Laredo Int'l","LRD","1159116549"
"POINT (-1.28806068838754 59.8766899598999)","Sumburgh","LSI","1159116567"
"POINT (35.9442407096663 35.4073114596744)","Bassel Al-Assad Int'l","LTK","1159116587"
"POINT (-0.376227267397439 51.8802952570969)","London Luton","LTN","1159116605"
"POINT (15.495229 78.246717)","Svalbard Longyear","LYR","1159116623"
"POINT (-77.9183907635752 18.5011549298249)","Sangster Int'l","MBJ","1159116641"
"POINT (95.9706535950217 21.7055490680274)","Mandalay Int'l","MDL","1159116657"
"POINT (-87.7421266885612 41.7883492597409)","Chicago Midway Int'l","MDW","1159116663"
"POINT (-80.6833845995774 -0.949557002112883)","Eloy Alfaro Int'l","MEC","1159116681"
"POINT (-86.3903074602686 32.3045879909631)","Montgomery Reg.","MGM","1159116701"
"POINT (-71.4375239091857 42.9279139945886)","Manchester-Boston Reg.","MHT","1159116733"
"POINT (13.0851390162471 11.8534713188527)","Maiduguri Int'l","DNMA","1159116745"
"POINT (23.5721091989052 -6.12484541348811)","Mbuji Mayi","MJM","1159116757"
"POINT (-101.2913855313 48.2556049212839)","Minot Int'l","MOT","1159116781"
"POINT (-114.083694923651 46.9187604768831)","Missoula Int'l","MSO","1159116793"
"POINT (-115.247874047841 32.6285643324607)","Gen R.S. Taboada Int'l","MXL","1159116811"
"POINT (8.71295953502437 45.6274405140381)","Malpensa","MXP","1159116827"
"POINT (167.943394116205 -29.0351592555275)","Norfolk Island","NLK","1159116847"
"POINT (11.0774179739096 49.4945052170345)","Nurnberg","NUE","1159116865"
"POINT (30.6768308310206 46.4406268759106)","Odessa Int'l","ODS","1159116875"
"POINT (153.512876264303 -28.1665168540202)","Gold Coast","OOL","1159116895"
"POINT (-0.60679696443112 35.6202747312734)","Oran Es Senia","ORN","1159116913"
"POINT (85.0909021314663 25.5944434295605)","Lok Nayak Jaiprakash","PAT","1159116937"
"POINT (-58.0685346825257 -32.3614545292723)","Paysandu","PDU","1159116951"
"POINT (32.4832322064926 34.7134012817335)","Paphos Int'l","PFO","1159116971"
"POINT (104.699128326762 -2.89999345005997)","Sultan Mahmud Badaruddin II","PLM","1159116979"
"POINT (29.4533403645644 -23.858986270166)","Polokwane Int'l","PTG","1159117007"
"POINT (-68.3632351074649 18.563039033987)","Punta Cana","PUJ","1159117025"
"POINT (-100.18735943003 20.622466071278)","Queretaro Int'l","QRO","1159117049"
"POINT (70.7799548311565 22.3092816988361)","Rajkot","RAJ","1159117053"
"POINT (-77.333119638113 37.5082899750901)","Richmond Int'l","RIC","1159117071"
"POINT (88.6138045704431 24.4448068623035)","Shah Makhdum","RJH","1159117089"
"POINT (-77.6652445062197 43.1275519826482)","Greater Rochester Int'l","ROC","1159117107"
"POINT (150.478897 -23.378599)","Rockhampton","ROK","1159117127"
"POINT (39.8035144445391 47.2551119519754)","Rostov-on-Don","ROV","1159117147"
"POINT (46.035023249891 51.5606456508842)","Saratov","RTW","1159117175"
"POINT (-87.9272365125409 15.4558630524883)","Ramón Villeda Morales Int'l","SAP","1159117187"
"POINT (-119.8366015808 34.4257312978783)","Santa Barbara Muni.","SBA","1159117215"
"POINT (-148.457855 70.19751)","Deadhorse","SCC","1159117221"
"POINT (-50.694199 67.018097)","Kangerlussuaq","SFJ","1159117249"
"POINT (-93.3826379012003 37.2421444903024)","Springfield Reg.","SGF","1159117257"
"POINT (-93.8285222229503 32.4545798866513)","Shreveport Reg.","SHV","1159117279"
"POINT (33.9960529244537 45.0202173978165)","Simferopol Int'l","SIP","1159117305"
"POINT (-135.365692 57.05349)","Sitka Rocky Gutierrez","SIT","1159117325"
"POINT (-109.717858386909 23.1626574483597)","Los Cabos Int'l","SJD","1159117339"
"POINT (-123.007871479404 44.9105138452142)","McNary Field","SLE","1159117357"
"POINT (-100.932260548587 25.5479976419974)","Plan de Guadalupe","SLW","1159117385"
"POINT (-8.92242885557686 52.6934537102532)","Shannon","SNN","1159117403"
"POINT (167.220894919375 -15.5055387370858)","Santo Pekoa Int'l","SON","1159117423"
"POINT (110.378556255666 -6.97873484956982)","Achmad Yani","SRG","1159117439"
"POINT (74.7826243672311 33.9830909431623)","Srinagar","SXR","1159117453"
"POINT (-92.370003 14.7911281338773)","Tapachula Int'l","TAP","1159117469"
"POINT (19.2466868618873 42.3679335195428)","Podgorica","TGD","1159117487"
"POINT (-84.3449953984858 30.3955576176938)","Tallahassee Reg.","TLH","1159117513"
"POINT (7.64416230362133 45.1916600734642)","Turin Int'l","TRN","1159117525"
"POINT (112.625891539315 37.7545117791512)","Taiyuan Wusu Int'l","TYN","1159117549"
"POINT (-45.4164008923108 61.1625968337328)","Narsarsuaq","UAK","1159117575"
"POINT (101.00020929048 12.6852930912664)","U-Tapao","UTP","1159117593"
"POINT (25.8467677208826 -18.0990155983682)","Victoria Falls","VFA","1159117607"
"POINT (80.7973080000675 16.528642778235)","Vijaywada","VGA","1159117621"
"POINT (82.8538741913527 25.4499077329822)","Varanasi","VNS","1159117647"
"POINT (-81.4367103850623 23.0395422339631)","Juan Gualberto Gomez","VRA","1159117667"
"POINT (-92.8190675836262 17.9930660113111)","Villahermosa","VSA","1159117675"
"POINT (-99.9458959002463 49.9047279410277)","Brandon","YBR","1159117705"
"POINT (-113.478839054497 53.6749156618668)","CFB Edmonton","YED","1159117725"
"POINT (-68.5367292441812 63.7511523537807)","Iqaluit","YFB","1159117737"
"POINT (-79.9264230959967 43.1633605305096)","John C. Munro Hamilton Int'l","YHM","1159117751"
"POINT (-111.223840046617 56.6563171390962)","Fort McMurray","YMM","1159117769"
"POINT (121.372047417773 37.4077044726924)","Yantai","YNT","1159117787"
"POINT (-117.443663208082 56.231924036745)","Peace River","YPE","1159117801"
"POINT (-64.6886696807361 46.1162059639259)","Greater Moncton Int'l","YQM","1159117815"
"POINT (-60.0469372117026 46.1673405890504)","Sydney/J.A. Douglas McCurdy","YQY","1159117831"
"POINT (-94.9708023244006 74.7181860987594)","Resolute Bay","YRB","1159117851"
"POINT (-111.961059938158 60.0198749602443)","Fort Smith","YSM","1159117869"
"POINT (-97.860733 55.797482)","Thompson","YTH","1159117885"
"POINT (-81.372047 48.566158)","Timmins","YTS","1159117903"
"POINT (-86.25 66.533302)","Repulse Bay","YUT","1159117931"
"POINT (-68.433342 58.101959)","Kuujjuaq","YVP","1159117945"
"POINT (-66.873009 52.926071)","Wabush","YWK","1159117971"
"POINT (-113.522973688581 53.5709436582812)","Edmonton City Centre","YXD","1159117985"
"POINT (-120.736439 56.246035)","Fort St. John (N. Peace)","YXJ","1159118009"
"POINT (-79.42491 46.358711)","North Bay/Jack Garland","YYB","1159118021"
"POINT (7.68726764310577 11.1352958601071)","Zaria","ZAR","1159118043"
"POINT (21.6281971858229 41.9564546081544)","Skopje","SKP","1159118053"
"POINT (86.974546776573 23.6312179107764)","Burnpur","VE23","1159118067"
"POINT (77.3507888779117 28.7077968601071)","Hindon Air Force Station","VIDX","1159118081"
"POINT (125.890825057486 39.4119659710565)","Sunchon","","1159118101"
"POINT (19.4032148744037 51.72720704517)","Łódź Władysław Reymont","EPLL","1159118117"
"POINT (76.8782640096648 43.3554190837919)","Alma Ata N.W.","BXJ","1159118141"
"POINT (130.456204704407 46.8430150223379)","Jiamusi Dongjiao","JMU","1159118157"
"POINT (129.58015153222 44.5342936299935)","Mudanjiang Hailang","MDG","1159118173"
"POINT (33.2903527616285 69.0168711826804)","Severomorsk-3 (Murmansk N.E.)","ULMM","1159118187"
"POINT (43.145802 36.308601)","Mosul Int'l","OSB","1159118205"
"POINT (39.6353996343665 47.2774209202867)","Rostov N.","","1159118221"
"POINT (39.7972215345149 47.1158577255835)","Rostov S.W.","","1159118241"
"POINT (25.3728374704307 64.9287992358849)","Oulu","OUL","1159118267"
"POINT (-0.701793449075243 44.8321108662674)","Bordeaux","BOD","1159118275"
"POINT (6.95431612028937 43.546097987045)","Mandelieu","CEQ","1159118293"
"POINT (0.158653528230218 49.3616609986609)","St Gatien","DOL","1159118319"
"POINT (3.10596499799813 50.5716423929581)","Lille-Lesquin","LIL","1159118335"
"POINT (1.37350918551153 43.6304625661601)","Toulouse-Blagnac","TLS","1159118353"
"POINT (130.444189541884 33.5848164332573)","Fukuoka","FUK","1159118371"
"POINT (132.419372741681 34.3713815628829)","Hiroshima-Nishi","HIW","1159118391"
"POINT (136.91962838414 35.2540532052867)","Nagoya","NKM","1159118405"
"POINT (140.930247381369 38.1382075615287)","Sendai","SDJ","1159118419"
"POINT (29.8913489500406 69.7238318113692)","Kirkenes Hoybuktmoen","KKN","1159118437"
"POINT (-56.1201774754724 -15.6511470191955)","Marechal Rondon Int'l","CGB","1159118463"
"POINT (-48.5448122049599 -27.6646276941638)","Hercilio Luz Int'l","FLN","1159118479"
"POINT (-48.8016498165616 -26.2242941374785)","Joinville-Lauro C. de Loyola","JOI","1159118499"
"POINT (-34.9488925911125 -7.14617462402047)","Presidente Castro Pinto Int'l","JPA","1159118513"
"POINT (-35.2488410165389 -5.89912054477116)","Augusto Severo Int'l","NAT","1159118529"
"POINT (-8.67127240719647 41.2368708920452)","Francisco Sa Carneiro","OPO","1159118545"
"POINT (-44.2362344700492 -2.58350921043018)","Marechal Cunha Machado Int'l","SLZ","1159118563"
"POINT (-46.3052704931003 -23.9237590410637)","Santos Air Force Base","SSZ","1159118581"
"POINT (-42.8212402317845 -5.06346299167191)","Teresina-Senador Petronio Portella","THE","1159118599"
"POINT (-47.1410791911014 -23.0096239085339)","Viracopos-Campinas Int'l","VCP","1159118605"
"POINT (-40.2885368759913 -20.2574162759418)","Eurico de Aguiar Salles","VIX","1159118619"
"POINT (-0.557230440363588 38.2866408993929)","Alicante","ALC","1159118637"
"POINT (-2.3716014405912 36.8477672709643)","Almeria","LEI","1159118657"
"POINT (-0.473474930771676 39.4914597884489)","Valencia","VLC","1159118675"
"POINT (20.3351522954898 67.8256066056432)","Kiruna_Airport","KRN","1159118693"
"POINT (16.2339407695814 58.5833805017541)","Norrköping Airport","NRK","1159118709"
"POINT (107.575611852209 -6.90042408353409)","Husein Sastranegara Int'l","BDO","1159118727"
"POINT (-60.7800787216586 -32.9162269743812)","Rosario – Islas Malvinas Int'l","ROS","1159118745"
"POINT (-35.7924951215833 -9.51494118540116)","Maceio/Zumbi dos Palmares Int'l","MCZ","1159118763"
"POINT (34.3901189267288 27.9804044199168)","Sharm el-Sheikh Int'l","SSH","1159118779"
"POINT (34.7758378996779 29.5944990568019)","Taba Int'l","TCP","1159118797"
"POINT (77.960909176509 27.15772773475)","Agra","AGR","1159118821"
"POINT (73.2262889533239 22.3361640021171)","Vadodara","BDQ","1159118843"
"POINT (47.1565835165639 34.3464167739108)","Shahid Ashrafi Esfahani","KSH","1159118869"
"POINT (20.2680398018516 32.0872774606553)","Benina Int'l","BEN","1159118875"
"POINT (50.1477245727844 26.2703680854768)","King Abdulaziz AB","DHA","1159118895"
"POINT (-57.9840821176492 -31.4373883387798)","Nueva Hespérides Int'l","STY","1159118917"
"POINT (63.307354423875 45.9635739403124)","Baikonur Cosmodrome","BAIK","1159118931"
"POINT (-80.6369680911892 28.5163704772027)","Kennedy Space Center","KSC","1159118961"
"POINT (-52.7684296893452 5.23941001258035)","Centre Spatial Guyanais","CSG","1159118977"
"POINT (-70.0076228563496 12.5034643630297)","Queen Beatrix Int'l","AUA","1159118987"
"POINT (43.1497127859956 11.5521018230172)","Djibouti-Ambouli Int'l","JIB","1159119005"
"POINT (-70.178635395533 -20.5478400878309)","Diego Aracena Int'l","IQQ","1159119023"
"POINT (29.3095991423889 40.9043003553957)","Sabiha Gökçen Havaalani","SAW","1159119041"
"POINT (162.957041225076 5.3520098571828)","Kosrae Island","KSA","1159119061"
"POINT (179.19544202302 -8.52485415059424)","Funafuti Int'l","FUN","1159119077"
"POINT (79.0537976421986 21.0899317630087)","Dr. Babasaheb Ambedkar Int'l","NAG","1159119091"
"POINT (98.3060384900559 8.10768475952735)","Phuket Int'l","HKT","1159119115"
"POINT (177.451151198059 -17.7529129479792)","Nadi Int'l","NAN","1159119125"
"POINT (-102.314093740058 21.7013390329207)","Lic. Jesús Terán Peredo Int'l","AGU","1159119145"
"POINT (8.12314535436409 44.0458773598158)","Albenga","ALL","1159119157"
"POINT (35.989707162193 31.7226621600432)","Queen Alia Int'l","AMM","1159119169"
"POINT (-70.3357301410959 -18.3492061639579)","Chacalluta Int'l","ARI","1159119187"
"POINT (-13.0511704323315 20.4982706101565)","Atar Int'l","ATR","1159119205"
"POINT (-74.776555978265 10.8866775959414)","Ernesto Cortissoz Int'l","BAQ","1159119223"
"POINT (-71.1614300869763 -41.1459976958105)","Teniente Luis Candelaria Int'l","BRC","1159119237"
"POINT (-5.06894222275311 7.73610495555032)","Bouaké","BYK","1159119257"
"POINT (-88.3082064033075 17.5360686575521)","Philip S. W. Goldson Int'l","BZE","1159119267"
"POINT (-97.5022678710298 27.7744560700823)","Corpus Christi Int'l","CRP","1159119285"
"POINT (-68.9568788072761 12.1848346052019)","Hato Int'l","CUR","1159119303"
"POINT (-71.9436641449722 -13.5382186992639)","Velazco Astete Int'l","CUZ","1159119321"
"POINT (39.2074715039165 -6.86672004249119)","Julius Nyerere Int'l","DAR","1159119341"
"POINT (-83.0039681417733 42.4090938431907)","Detroit City","DET","1159119359"
